ticker,pack,scope,strat_pct,bh_pct,alpha_pct,sharpe,max_dd_pct,trades,win_rate
2305,pack_g,S2_late,-7.38,-3.64,-3.74,-0.477,15.03,1,
2305,pack_g,S3_covid,31.37,75.26,-43.88,0.975,26.41,1,
2305,pack_g,S4_hike,31.27,140.89,-109.61,0.768,32.57,1,
2305,pack_g,S5_ai,-8.68,-33.06,24.38,-0.332,22.91,1,
2312,pack_a,total,20.78,236.82,-216.05,0.238,31.92,21,47.6
2312,pack_a,S1_trump1,-5.0,1.26,-6.25,-0.498,6.97,3,33.3
2312,pack_a,S2_late,-0.96,36.87,-37.84,0.054,13.66,4,50.0
2312,pack_a,S3_covid,10.54,27.34,-16.8,0.456,24.02,3,50.0
2312,pack_a,S4_hike,-7.99,-8.5,0.51,-0.411,11.17,3,33.3
2312,pack_a,S5_ai,17.47,114.43,-96.96,0.469,22.86,6,66.7
2312,pack_b,total,16.69,236.82,-220.14,0.218,38.82,37,38.9
2312,pack_b,S1_trump1,-9.67,1.26,-10.92,-0.598,10.63,7,28.6
2312,pack_b,S2_late,-2.08,36.87,-38.95,-0.009,13.66,5,40.0
2312,pack_b,S3_covid,2.19,27.34,-25.15,0.201,27.2,7,33.3
2312,pack_b,S4_hike,-11.54,-8.5,-3.04,-0.286,18.21,7,14.3
2312,pack_b,S5_ai,37.74,114.43,-76.69,0.726,28.93,8,71.4
2312,pack_c,total,43.84,236.82,-192.98,0.339,30.51,32,45.2
2312,pack_c,S1_trump1,-8.98,1.26,-10.23,-0.572,12.54,6,33.3
2312,pack_c,S2_late,-3.95,36.87,-40.82,-0.123,13.66,5,40.0
2312,pack_c,S3_covid,1.83,27.34,-25.51,0.192,27.46,7,33.3
2312,pack_c,S4_hike,10.71,-8.5,19.21,0.506,10.19,3,33.3
2312,pack_c,S5_ai,37.74,114.43,-76.69,0.726,28.93,8,71.4
2312,pack_d,total,-37.8,236.82,-274.63,-0.2,68.17,107,27.4
2312,pack_d,S1_trump1,-16.25,1.26,-17.5,-1.302,22.5,27,25.9
2312,pack_d,S2_late,0.44,36.87,-36.44,0.127,11.55,14,42.9
2312,pack_d,S3_covid,-12.91,27.34,-40.25,-0.427,22.28,17,17.6
2312,pack_d,S4_hike,-53.63,-8.5,-45.14,-2.749,54.79,23,8.7
2312,pack_d,S5_ai,74.23,114.43,-40.2,1.156,16.95,24,43.5
2312,pack_e,total,-25.11,236.82,-261.94,-0.088,45.08,7,0.0
2312,pack_e,S1_trump1,0.0,1.26,-1.26,inf,,0,
2312,pack_e,S2_late,0.0,36.87,-36.87,inf,,0,
2312,pack_e,S3_covid,-15.21,27.34,-42.55,-0.576,20.46,1,0.0
2312,pack_e,S4_hike,-4.02,-8.5,4.48,-0.744,6.67,1,0.0
2312,pack_e,S5_ai,4.04,114.43,-110.39,0.241,45.08,2,100.0
2312,pack_f,total,6.12,236.82,-230.7,0.137,32.26,21,52.4
2312,pack_f,S1_trump1,-4.69,1.26,-5.94,-0.822,5.52,1,0.0
2312,pack_f,S2_late,0.0,36.87,-36.87,inf,,0,
2312,pack_f,S3_covid,40.12,27.34,12.78,1.543,12.32,5,80.0
2312,pack_f,S4_hike,-10.5,-8.5,-2.0,-1.337,14.24,3,33.3
2312,pack_f,S5_ai,12.59,114.43,-101.84,0.417,17.55,5,60.0
2312,pack_g,total,80.43,236.82,-156.39,0.497,40.02,1,
2312,pack_g,S1_trump1,-3.54,1.26,-4.8,-0.27,10.24,1,
2312,pack_g,S2_late,19.4,36.87,-17.48,1.073,9.92,1,
2312,pack_g,S3_covid,32.97,27.34,5.63,0.911,26.85,1,
2312,pack_g,S4_hike,-1.01,-8.5,7.48,0.055,17.61,1,
2312,pack_g,S5_ai,33.81,114.43,-80.62,0.686,33.43,1,
2313,pack_a,total,34.97,2124.39,-2089.42,0.327,37.45,16,43.8
2313,pack_a,S1_trump1,8.48,37.49,-29.01,0.337,24.64,3,33.3
2313,pack_a,S2_late,44.05,102.64,-58.59,1.798,12.02,2,50.0
2313,pack_a,S3_covid,0.62,19.18,-18.55,0.113,13.8,3,66.7
2313,pack_a,S4_hike,-3.79,32.87,-36.66,-0.372,8.24,1,0.0
